Date_Param,Province_Name,Price
2022-01-01,Aceh,10250.0
2022-01-01,Sumatera Utara,11150.0
2022-01-01,Sumatera Barat,13250.0
2022-01-01,Riau,12250.0
2022-01-01,Kepulauan Riau,13550.0
2022-01-01,Jambi,11800.0
2022-01-01,Bengkulu,11300.0
2022-01-01,Sumatera Selatan,11350.0
2022-01-01,Kepulauan Bangka Belitung,11400.0
2022-01-01,Lampung,11200.0
2022-01-01,Banten,11550.0
2022-01-01,Jawa Barat,11250.0
2022-01-01,DKI Jakarta,13550.0
2022-01-01,Jawa Tengah,10950.0
2022-01-01,DI Yogyakarta,11250.0
2022-01-01,Jawa Timur,10500.0
2022-01-01,Bali,11100.0
2022-01-01,Nusa Tenggara Barat,9600.0
2022-01-01,Nusa Tenggara Timur,11300.0
2022-01-01,Kalimantan Barat,13350.0
2022-01-01,Kalimantan Selatan,13150.0
2022-01-01,Kalimantan Tengah,13850.0
2022-01-01,Kalimantan Timur,12150.0
2022-01-01,Kalimantan Utara,13550.0
2022-01-01,Gorontalo,11000.0
2022-01-01,Sulawesi Selatan,9900.0
2022-01-01,Sulawesi Tenggara,10950.0
2022-01-01,Sulawesi Tengah,10600.0
2022-01-01,Sulawesi Utara,11200.0
2022-01-01,Sulawesi Barat,9750.0
2022-01-01,Maluku,13150.0
2022-01-01,Maluku Utara,12650.0
2022-01-01,Papua,12100.0
2022-01-01,Papua Barat,13000.0
2022-01-02,Aceh,10250.0
2022-01-02,Sumatera Utara,11150.0
2022-01-02,Sumatera Barat,13250.0
2022-01-02,Riau,12250.0
2022-01-02,Kepulauan Riau,13550.0
2022-01-02,Jambi,11800.0
2022-01-02,Bengkulu,11300.0
2022-01-02,Sumatera Selatan,11350.0
2022-01-02,Kepulauan Bangka Belitung,11400.0
2022-01-02,Lampung,11200.0
2022-01-02,Banten,11550.0
2022-01-02,Jawa Barat,11250.0
2022-01-02,DKI Jakarta,13550.0
2022-01-02,Jawa Tengah,10950.0
2022-01-02,DI Yogyakarta,11250.0
2022-01-02,Jawa Timur,10500.0
2022-01-02,Bali,11100.0
2022-01-02,Nusa Tenggara Barat,9600.0
2022-01-02,Nusa Tenggara Timur,11300.0
2022-01-02,Kalimantan Barat,13350.0
2022-01-02,Kalimantan Selatan,13150.0
2022-01-02,Kalimantan Tengah,13850.0
2022-01-02,Kalimantan Timur,12150.0
2022-01-02,Kalimantan Utara,13550.0
2022-01-02,Gorontalo,11000.0
2022-01-02,Sulawesi Selatan,9900.0
2022-01-02,Sulawesi Tenggara,10950.0
2022-01-02,Sulawesi Tengah,10600.0
2022-01-02,Sulawesi Utara,11200.0
2022-01-02,Sulawesi Barat,9750.0
2022-01-02,Maluku,13150.0
2022-01-02,Maluku Utara,12650.0
2022-01-02,Papua,12100.0
2022-01-02,Papua Barat,13000.0
2022-01-03,Aceh,10250.0
2022-01-03,Sumatera Utara,11150.0
2022-01-03,Sumatera Barat,13250.0
2022-01-03,Riau,12250.0
2022-01-03,Kepulauan Riau,13550.0
2022-01-03,Jambi,11800.0
2022-01-03,Bengkulu,11300.0
2022-01-03,Sumatera Selatan,11450.0
2022-01-03,Kepulauan Bangka Belitung,11400.0
2022-01-03,Lampung,11250.0
2022-01-03,Banten,11550.0
2022-01-03,Jawa Barat,11250.0
2022-01-03,DKI Jakarta,13550.0
2022-01-03,Jawa Tengah,10950.0
2022-01-03,DI Yogyakarta,11250.0
2022-01-03,Jawa Timur,10500.0
2022-01-03,Bali,11100.0
2022-01-03,Nusa Tenggara Barat,9600.0
2022-01-03,Nusa Tenggara Timur,11300.0
2022-01-03,Kalimantan Barat,13350.0
2022-01-03,Kalimantan Selatan,13100.0
2022-01-03,Kalimantan Tengah,13850.0
2022-01-03,Kalimantan Timur,12200.0
2022-01-03,Kalimantan Utara,13550.0
2022-01-03,Gorontalo,11000.0
2022-01-03,Sulawesi Selatan,9900.0
2022-01-03,Sulawesi Tenggara,10950.0
2022-01-03,Sulawesi Tengah,10600.0
2022-01-03,Sulawesi Utara,11250.0
2022-01-03,Sulawesi Barat,9750.0
2022-01-03,Maluku,13150.0
2022-01-03,Maluku Utara,12650.0
2022-01-03,Papua,12100.0
2022-01-03,Papua Barat,13000.0
2022-01-04,Aceh,10300.0
2022-01-04,Sumatera Utara,11150.0
2022-01-04,Sumatera Barat,13250.0
2022-01-04,Riau,12250.0
2022-01-04,Kepulauan Riau,13550.0
